Country,Region,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13
Afghanistan,Asia-Pacific,19.60,29.60,25.20,91.70,80.30,99.30,49.20,60.40,76.70,66.00,10.00,10.00,51.50,69.60,2.50,2.90,1958.00,8.80,5.00,53.90,7.30,7.00,20.00,20.00,5.00,25.60
Albania,Europe,54.80,30.60,40.40,86.30,73.90,80.60,69.30,52.70,81.50,87.80,70.00,70.00,66.50,36.00,3.90,2.50,12507.00,13.90,2.00,1119.10,71.20,1.10,23.00,15.00,24.90,29.50
Algeria,Middle East and North Africa,31.60,36.20,28.90,76.40,48.70,18.70,61.60,49.90,74.90,67.40,30.00,30.00,46.20,632.90,2.00,3.10,15237.00,10.00,5.60,1203.00,25.80,8.80,35.00,23.00,24.50,41.40
Angola,Sub-Saharan Africa,35.90,26.60,20.50,83.90,80.70,58.20,55.70,58.80,55.40,61.20,30.00,40.00,50.60,190.30,0.70,2.90,6753.00,8.20,31.70,-2254.50,65.30,9.40,17.00,30.00,20.60,25.30
Argentina,Americas,47.80,44.50,33.50,69.30,49.50,33.00,56.40,46.90,60.20,70.00,55.00,60.00,52.20,920.20,2.90,0.70,20876.00,8.70,25.70,11857.00,52.60,7.50,35.00,30.00,30.80,41.00
Armenia,Europe,57.20,46.30,38.60,84.70,79.00,53.00,78.30,71.40,77.80,80.80,75.00,70.00,67.70,28.30,7.50,3.60,9456.00,18.20,0.90,245.70,53.50,2.10,26.00,20.00,21.30,26.40
Australia,Asia-Pacific,79.10,86.50,79.90,62.80,60.10,86.20,88.30,84.10,86.60,87.60,80.00,90.00,80.90,1246.50,2.30,2.40,50334.00,5.60,2.00,46368.00,41.60,1.20,45.00,30.00,28.20,36.50
Austria,Europe,84.20,71.30,77.40,50.50,24.50,85.50,74.90,68.70,81.50,86.00,90.00,70.00,72.00,439.60,2.90,1.30,49869.00,5.50,2.20,9629.60,78.80,2.00,50.00,25.00,42.70,50.20
Azerbaijan,Asia-Pacific,59.10,53.10,44.70,87.50,59.50,89.40,69.50,63.90,63.00,74.60,60.00,60.00,65.40,171.80,0.10,1.20,17492.00,5.00,13.00,2867.00,54.70,5.20,25.00,20.00,15.00,36.70
Bahamas,Americas,42.20,46.90,43.70,97.30,86.80,65.70,68.50,67.50,78.10,47.80,50.00,60.00,62.90,11.60,1.30,-0.70,31139.00,12.60,1.40,927.70,57.20,18.60,0.00,0.00,16.30,21.00
Bahrain,Middle East and North Africa,63.50,50.70,53.60,99.70,62.70,3.70,71.40,71.10,81.60,83.80,75.00,80.00,66.40,70.40,3.20,3.80,48505.00,1.20,1.40,518.90,90.30,3.10,0.00,0.00,5.60,35.30
Bangladesh,Asia-Pacific,36.10,34.50,24.40,72.70,94.50,77.60,50.90,68.20,69.90,63.60,45.00,30.00,55.60,687.10,7.10,6.70,4211.00,4.40,5.70,2151.60,32.40,10.70,25.00,45.00,8.80,13.60
Barbados,Americas,52.90,59.90,53.80,70.10,65.00,79.50,69.80,59.90,78.30,56.60,70.00,60.00,64.70,5.20,0.90,0.60,18664.00,9.70,4.40,286.20,132.90,14.20,35.00,25.00,33.70,34.10
Belarus,Europe,55.20,51.70,37.70,89.40,41.30,85.40,75.00,75.30,67.00,76.40,30.00,10.00,57.90,178.90,2.40,-0.30,18931.00,0.50,6.00,1276.40,51.00,1.80,13.00,18.00,23.80,44.20
Belgium,Europe,81.30,61.60,72.50,47.10,15.20,73.40,78.10,61.00,76.10,86.00,85.00,70.00,67.30,528.50,1.70,1.20,46553.00,7.40,2.20,740.40,103.20,2.00,50.00,29.00,44.20,53.20
Belize,Americas,41.70,46.90,27.20,79.90,65.90,39.10,61.80,54.80,78.70,64.00,55.00,50.00,55.40,3.20,0.80,1.80,8324.00,9.30,1.10,77.00,99.00,10.50,25.00,25.00,27.60,33.70
Benin,Sub-Saharan Africa,37.20,32.80,28.10,69.30,83.40,27.90,62.40,53.80,86.40,61.80,70.00,50.00,55.30,25.30,5.60,5.00,2277.00,2.50,0.10,184.40,54.60,11.60,45.00,30.00,11.90,23.50
Bhutan,Asia-Pacific,62.50,55.40,54.50,83.00,71.60,77.60,68.70,79.50,72.60,79.40,20.00,30.00,62.90,7.00,6.00,5.20,8744.00,2.40,3.40,10.30,102.40,2.80,25.00,30.00,13.40,30.70
Bolivia,Americas,20.50,12.30,19.70,82.40,49.30,17.60,58.80,52.90,68.80,70.40,15.00,40.00,42.30,83.60,4.20,5.10,7547.00,3.10,2.80,724.70,50.90,4.80,13.00,25.00,31.10,41.10
Bosnia and Herzegovina,Europe,40.20,37.90,30.20,84.30,46.10,96.60,49.70,67.00,83.10,82.60,65.00,60.00,61.90,44.60,2.70,2.50,12724.00,25.60,1.30,425.20,41.00,1.20,10.00,10.00,37.00,42.40
Botswana,Sub-Saharan Africa,58.10,45.70,52.40,82.70,65.90,94.60,68.70,68.20,78.80,83.80,65.00,70.00,69.50,38.90,2.20,4.10,17828.00,17.40,3.30,400.60,15.60,0.60,25.00,22.00,24.90,33.70
Brazil,Americas,57.30,51.70,28.10,70.50,55.20,5.90,57.90,51.90,75.50,69.00,50.00,50.00,51.90,3240.30,1.00,-0.50,15603.00,13.30,3.40,62712.60,84.00,8.00,27.50,34.00,32.20,38.60
Brunei Darussalam,Asia-Pacific,64.00,56.00,43.70,90.70,59.90,20.00,80.20,90.80,76.50,84.00,65.00,50.00,65.10,33.50,0.50,-1.40,78196.00,7.10,-0.10,-46.30,2.70,0.50,0.00,18.50,24.20,36.60
Bulgaria,Europe,62.50,41.90,35.10,90.20,63.90,98.80,62.70,68.40,88.00,86.00,70.00,60.00,69.00,153.10,3.60,2.70,21687.00,6.20,1.20,1070.70,23.90,2.00,10.00,10.00,28.00,34.70
Burkina Faso,Sub-Saharan Africa,49.10,42.90,36.60,81.90,80.00,61.80,51.60,52.30,86.20,65.20,65.00,40.00,59.40,35.80,6.40,5.30,1889.00,6.30,0.40,485.90,38.30,7.40,27.50,28.00,16.30,25.80
